Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^134]	Clause 3, Directive for Internet Service Providers, 2077(2021)	@DirectiveInternet2021	Clause 3	40
[^135]	Clause 4, Directive for Internet Service Providers, 2077(2021)	@DirectiveInternet2021	Clause 4	40
[^136]	Directive for Voice Service Providers, 2077 (2021)	@DirectiveVoice2021		70
[^137]	Directive for Voice Service Providers, 2077 (2021)	@DirectiveVoice2021		70
[^138]	To frame and Enforce the Directives, Section 79, Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 79	30
[^139]	Section 2 (e), Directives for Managing the Use of Social Networks, 2080 (2023) 	@DirectiveManaging	Section 2	40
[^140]	Section 2 (g), Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 2	40
[^141]	Section 5, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 5	40
[^142]	Section 3, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 3	40
[^143]	Section 3 (7), Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 3	40
[^144]	Section 6, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 6	40
[^145]	Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 8	40
[^146]	Section 4, Directives for Managing the Use of Social Networks, 2080 (2023) 	@DirectiveManaging	Section 4	40
[^147]	Section 9, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 9	40
[^148]	Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 8	40
[^149]	Section 13, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 13	40
[^150]	‘Relevant Agencies’ means Department of Information and Broadcasting, Advertisment Board, Press Council and Nepal Telecommunication Authority. Section 2 (d), Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 2	40
[^151]	Article 17, Constitution of Nepal, 2072 (2015) 	@nepalConstitutionNepal2015		70
[^152]	Article 19, Constitution of Nepal, 2072 (2015)	@nepalConstitutionNepal2015		70
[^153]	Section 3, Copyright Act, 2059 (2002)	@indiaCopyrightAct1957	Section 3	70
[^154]	“The Copyright Act, 2059 (2002).Pdf.”	@indiaCopyrightAct1957		70
[^155]	Section 4, Copyright Act, 2059 (2002)	@indiaCopyrightAct1957	Section 4	70
[^156]	Section 14(1), Copyright Act, 2059 (2002)	@indiaCopyrightAct1957	Section 14	70
[^157]	“The Patent, Design and Trade Mark Act, 2022 (1965).”	@nepalPatentDesignTrade2022		90
[^158]	Section 8, Patent, Design and Trademark Act, 2022 (1965)	@nepalPatentDesignTrade2022	Section 8	60
[^159]	Section 18D, Patent, Design and Trademark Act, 2022 (1965)	@nepalPatentDesignTrade2022	Section 18D	60
[^160]	Section 14A, Patent, Design and Trademark Act, 2022 (1965)	@nepalPatentDesignTrade2022	Section 14A	60
[^161]	Chapter 4, Copyright Act, 2059 (2002)	@indiaCopyrightAct1957		70
[^162]	Section 19, Telecommunication Act 2053 (1993)		Section 19	0
[^163]	Telecommunications Act.	@nepalTelecommunicationsAct1993		70
[^164]	Section 14, Press and Publications Act, 2048 (1991)	@indonesiaPressAct1999	Section 14	40
[^165]	Section 15, Press and Publications Act, 2048 (1991)	@indonesiaPressAct1999	Section 15	40
[^166]	Press and Publication Act, 2048 (1991) – Nepal Law Commission.	@nepalPressPublicationAct1991		70
[^167]	Section 14, Press and Publications Act, 2048 (1991)	@indonesiaPressAct1999	Section 14	40
[^168]	Section 16, Press and Publications Act, 2048 (1991)	@indonesiaPressAct1999	Section 16	40
[^169]	Section 15, Press and Publications Act, 2048 (1991)	@indonesiaPressAct1999	Section 15	40
